0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
33 33 33 33 33 34 0  0 31  0 32 33 34  0  0  32 33 33 33 34
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   0  0 75
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   0  0 75
33 33 33 33 34 0  0 31  0  0  0 31  0  0  0  75 10 10 10 10
0  0  0  75 0  0  0  0  0  0  0  0  0  0  0  75 10 10 10 10
0  0  0  75 0  0  0  0  0  0  0  0  0  0  0  75  0  0  0  0
10 10 2  2  3  0  0  1 10 10 10  3  0  0  0  75  0  0  0  0
12 12 12 12 13 0  0 11 12 12 12 13  0  0  0  10  60 60 60 3
