5  5  5 53  5  5 49 49  5 53 49  5 53 53  5  5  5 53  5 49
5 49 49  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
5  5  5 53 11 13 10 11 11  5  5 11 11 11 11 11  5  5 11  5
11 11 5  5  5 13  5  5 31 30 31 30  5  5  5 30 31 30 31  5
5  5  5  5  5 13  5  5 49  5  5  5  5 32 33  5  5  5 20 21
5 20 21 10 11 13  5  5  5 53  5 53  5 38 39 53  5 53 26 27
5 26 27 53 49 13  5  5  5  5  5  5 49  5  5  5  5  5  5  1
11 11 5  5  5 13  5 11 11 11 11 11 11 11 11 11 11 11 11  5
5  5 53  5  7  7  5 32 33  5 49  5  5 53  5 49  5 49  5  5
5  5  5  5  5  7  5 38 39  5 53  5  5 53 49  5  5  5  5  5
11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
